typeID,name,max,min,buy_max,buy_min,sell_max,sell_min
36,类银超金属,13300,1,127.2,1,13300,127.3
34,三钛合金,12.63,1,9.58,1,12.63,10
40,超噬矿,14960,3506,7135,3506,14960,7598
38,超新星诺克石,1500,600,1050,600,1500,1190
39,晶状石英核岩,5000,1,2986,1,5000,3745
37,同位聚合体,670,335.7,355.4,335.7,670,394
11399,莫尔石,99900,1,36000,1,99900,41980
35,类晶体胶矿,59.96,1,37.11,1,59.96,42.41
2390,电解物,3325,10,2412,10,3325,2669
2393,细菌,2780,10,1807,10,2780,2079
2396,生物燃料,1749,10,1084,10,1749,1207
2398,反应金属,3953,10,2065,10,3953,2243
2399,稀有金属,200000,10,2350,10,200000,2612
2400,有毒金属,2392,10,1450,10,2392,1627
2401,手性结构,3600,10,2745,10,3600,2997
3645,水,3299,10,2502,10,3299,2865
2392,氧化剂,3500,10,2748,10,3500,3044
3779,生物质,4321,10,3342,10,4321,3489
2389,等离子团体,2720,10,1951,10,2720,2121
2397,工业纤维,3000,10,2209,10,3000,3000
3683,氧,1864,10,1749,10,1864,1860
2395,蛋白质,2890,10,2071,10,2890,2340
9828,硅,2890,10,2251,10,2890,2653
44,核能燃料,43530,1000,34040,1000,43530,36840
2327,微纤维护盾,50000,1000,25220,1000,50000,49990
2328,水冷CPU,34750,1000,30620,1000,34750,32100
2329,生物电池,42840,1000,30270,1000,42840,35160
2463,纳米体,60000,1000,43620,1000,60000,43630
3695,合成纺织品,25890,1000,18800,1000,25890,24000
3828,建筑模块,35050,540.5,33070,540.5,35050,34000
9832,冷却剂,67950,1000,40200,1000,67950,41540
15317,基因肉制品,50000,1000,41160,1000,50000,49870
9838,超导体,39700,1000,36020,1000,39700,38420
3689,机械元件,48890,1000,32850,1000,48890,35810
3691,合成油,43200,1000,30070,1000,43200,34950
2321,聚芳酰胺,59370,1000,38590,1000,59370,43890
3693,肥料,46980,1000,38070,1000,46980,46890
3697,硅酸盐玻璃,380000,1000,30240,1000,380000,45000
3725,家畜,36680,1000,29110,1000,36680,35000
2317,氧化物,77870,1000,30460,1000,77870,60000
9836,消费级电器,40000,1000,31470,1000,40000,38850
9840,传信器,48480,1000,32160,1000,48480,38100
9842,微型电子元件,88010,1000,50010,1000,88010,52170
2312,超张力塑料,52500,1000,47670,1000,52500,51990
3775,病原体,59950,1000,48480,1000,59950,51690
2319,培养基,55000,1000,45270,1000,55000,50410
9830,火箭燃料,55100,1000,45170,1000,55100,48900
2346,合成神经键,469100,1000,411000,1000,469100,433100
2348,凝胶基质生物胶,578800,1000,514000,1000,578800,569000
2349,超级计算机,373700,1000,273900,1000,373700,342000
2354,控制面板,435000,1000,250200,1000,435000,294600
2360,工业炸药,197800,1000,140000,1000,197800,197700
